gameid,gametype,category,mechanic,designer,artist,playingtime,minplayers,maxplayers,minage,weight,urlpic,title,year,num_voters,geek_rating,avg_rating
224517,strategygames,Economic;; Industry / Manufacturing;; Post-Napoleonic;; Trains;; Transportation,Hand Management;; Income;; Loans;; Market;; Network and Route Building;; Tags;; Tech Trees / Tech Tracks;; Turn Order: Stat-Based;; Variable Set-up,Gavan Brown;; Matt Tolman;; Martin Wallace,Lina Cossette;; David Forest;; Damien Mammoliti,120,2,4,14,3.894,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg,Brass: Birmingham,2018,38510,8.423,8.61
161936,thematic;; strategygames,Environmental;; Medical,Action Points;; Cooperative Game;; Hand Management;; Legacy Game;; Point to Point Movement;; Scenario / Mission / Campaign Game;; Set Collection;; Tags;; Trading;; Variable Player Powers,Rob Daviau;; Matt Leacock,Chris Quilliams,60,2,4,13,2.8322,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png,Pandemic Legacy: Season 1,2015,50572,8.39,8.54
174430,thematic;; strategygames,Adventure;; Exploration;; Fantasy;; Fighting;; Miniatures,Action Queue;; Action Retrieval;; Campaign / Battle Card Driven;; Card Play Conflict Resolution;; Communication Limits;; Cooperative Game;; Critical Hits and Failures;; Deck Construction;; Grid Movement;; Hand Management;; Hexagon Grid;; Legacy Game;; Line of Sight;; Modular Board;; Once-Per-Game Abilities;; Role Playing;; Scenario / Mission / Campaign Game;; Simultaneous Action Selection;; Solo / Solitaire Game;; Tags;; Variable Player Powers,Isaac Childres,Alexandr Elichev;; Josh T. McDowell;; Alvaro Nebot,120,1,4,14,3.895,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__original/img/7d-lj5Gd1e8PFnD97LYFah2c45M=/0x0/filters:format(jpeg)/pic2437871.jpg,Gloomhaven,2017,58317,8.39,8.62
342942,strategygames,Animals;; Economic;; Environmental,End Game Bonuses;; Hand Management;; Hexagon Grid;; Income;; Increase Value of Unchosen Resources;; Open Drafting;; Set Collection;; Solo / Solitaire Game;; Tags;; Tile Placement;; Variable Player Powers;; Variable Set-up,Mathias Wigge,Steffen Bieker;; Loïc Billiau;; Dennis Lohausen;; Christof Tisch,150,1,4,14,3.7254,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__original/img/g4S18szTdrXCdIwVKzMKrZrYAcM=/0x0/filters:format(jpeg)/pic6293412.jpg,Ark Nova,2021,30735,8.301,8.53
233078,thematic;; strategygames,Civilization;; Economic;; Exploration;; Negotiation;; Political;; Science Fiction;; Space Exploration;; Wargame,Action Drafting;; Area Majority / Influence;; Area-Impulse;; Dice Rolling;; Follow;; Grid Movement;; Hexagon Grid;; Increase Value of Unchosen Resources;; King of the Hill;; Modular Board;; Race;; Tech Trees / Tech Tracks;; Trading;; Variable Phase Order;; Variable Player Powers;; Variable Set-up;; Voting,Dane Beltrami;; Corey Konieczka;; Christian T. Petersen,Scott Schomburg,480,3,6,14,4.3059,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__original/img/kVpZ0Maa_LeQGWxOqsYKP3N4KUY=/0x0/filters:format(jpeg)/pic3727516.jpg,Twilight Imperium: Fourth Edition,2017,20871,8.243,8.62
167791,strategygames,Economic;; Environmental;; Industry / Manufacturing;; Science Fiction;; Space Exploration;; Territory Building,Closed Drafting;; Contracts;; Enclosure;; End Game Bonuses;; Hand Management;; Hexagon Grid;; Income;; Set Collection;; Solo / Solitaire Game;; Tags;; Take That;; Tech Trees / Tech Tracks;; Tile Placement;; Turn Order: Progressive;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,Jacob Fryxelius,Isaac Fryxelius,120,1,5,12,3.2567,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg,Terraforming Mars,2016,89906,8.233,8.38
291457,thematic;; strategygames,Adventure;; Exploration;; Fantasy;; Fighting;; Miniatures,Action Queue;; Action Retrieval;; Campaign / Battle Card Driven;; Communication Limits;; Cooperative Game;; Critical Hits and Failures;; Deck Construction;; Grid Movement;; Hand Management;; Hexagon Grid;; Legacy Game;; Line of Sight;; Once-Per-Game Abilities;; Scenario / Mission / Campaign Game;; Simultaneous Action Selection;; Solo / Solitaire Game;; Variable Player Powers,Isaac Childres,Francesca Baerald;; David Demaret;; Alexandr Elichev,120,1,4,14,3.6304,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__original/img/PBzsLRqNKQKJxGnzpb7o3qLWPQM=/0x0/filters:format(jpeg)/pic5055631.jpg,Gloomhaven: Jaws of the Lion,2020,28800,8.208,8.5
316554,strategygames,Movies / TV / Radio theme;; Novel-based;; Political;; Science Fiction,Card Play Conflict Resolution;; Deck Bag and Pool Building;; Delayed Purchase;; Force Commitment;; Increase Value of Unchosen Resources;; Multi-Use Cards;; Open Drafting;; Solo / Solitaire Game;; Tags;; Take That;; Turn Order: Progressive;; Variable Player Powers;; Worker Placement,Paul Dennen,Clay Brooks;; Raul Ramos;; Nate Storm,120,1,4,14,3.0213,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__original/img/mZzaBAEEJpMlHWWmC0R6Su0OibQ=/0x0/filters:format(jpeg)/pic5666597.jpg,Dune: Imperium,2020,34409,8.172,8.4
115746,wargames;; thematic,Adventure;; Fantasy;; Fighting;; Novel-based;; Territory Building;; Wargame,Action Drafting;; Area Majority / Influence;; Area Movement;; Campaign / Battle Card Driven;; Card Play Conflict Resolution;; Dice Rolling;; Events;; Hand Management;; Hidden Movement;; Movement Points;; Simulation;; Team-Based Game;; Variable Set-up,Roberto Di Meglio;; Marco Maggi;; Francesco Nepitello,John Howe;; Fabio Maiorana,180,2,4,13,4.2061,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__original/img/38jB7fN07DwlrGKYAf-J0vsNdgs=/0x0/filters:format(jpeg)/pic1215633.jpg,War of the Ring: Second Edition,2011,19106,8.17,8.53
187645,thematic,Civil War;; Miniatures;; Movies / TV / Radio theme;; Science Fiction;; Space Exploration;; Wargame,Area Majority / Influence;; Area Movement;; Area-Impulse;; Card Play Conflict Resolution;; Contracts;; Delayed Purchase;; Dice Rolling;; Die Icon Resolution;; Events;; Hand Management;; Hidden Movement;; Income;; Once-Per-Game Abilities;; Tags;; Take That;; Team-Based Game;; Variable Player Powers;; Variable Set-up;; Worker Placement Different Worker Types,Corey Konieczka,Matt Allsopp;; David Ardila;; Balaskas;; Tiziano Baracchi;; Ryan Barger;; Jorge Barrero;; Cassandre Bolan;; Jon Bosco;; Matt Bradbury;; Adam Burn;; Alexandre Dainche;; Christina Davis;; Anthony Devine;; Allen Douglas;; Jose Mikhail Elloso;; Tony Foti;; Michele Frigo;; Mariusz Gandzel;; Zach Graves;; Richard Hanuschek;; Christopher Hosch;; Andrew Johanson;; Jeff Lee Johnson;; Jason Juta;; Adam Lane;; Ignacio Bazán Lazcano;; Ralph McQuarrie;; Mark Molnar;; Jake Murray;; Ameen Naksewee;; David Auden Nash;; Mike Nash;; Maciej Rebisz;; Alexandru Sabo;; Tony Shasteen;; Samuel R. Shimota;; Stephen Somers;; Matthew Starbuck;; Nicholas Stohlman;; Angela Sung;; Darren Tan;; Ryan Valle;; Jose Vega;; VIKO;; Magali Villeneuve;; Jacob Walker;; Ben Zweifel,240,2,4,14,3.7354,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__original/img/GKueTbkCk2Ramf6ai8mDj-BP6cI=/0x0/filters:format(jpeg)/pic4325841.jpg,Star Wars: Rebellion,2016,29922,8.168,8.42
