gameid,gametype,category,mechanic,playingtime,minplayers,maxplayers,minage,weight,title,year,num_voters,geek_rating,avg_rating
224517,strategygames,Economic;; Industry / Manufacturing;; Post-Napoleonic;; Trains;; Transportation,Hand Management;; Income;; Loans;; Market;; Network and Route Building;; Tags;; Tech Trees / Tech Tracks;; Turn Order: Stat-Based;; Variable Set-up,120,2,4,14,3.8959,Brass: Birmingham,2018,38495,8.423,8.61
161936,thematic;; strategygames,Environmental;; Medical,Action Points;; Cooperative Game;; Hand Management;; Legacy Game;; Point to Point Movement;; Scenario / Mission / Campaign Game;; Set Collection;; Tags;; Trading;; Variable Player Powers,60,2,4,13,2.8322,Pandemic Legacy: Season 1,2015,50569,8.39,8.54
174430,thematic;; strategygames,Adventure;; Exploration;; Fantasy;; Fighting;; Miniatures,Action Queue;; Action Retrieval;; Campaign / Battle Card Driven;; Card Play Conflict Resolution;; Communication Limits;; Cooperative Game;; Critical Hits and Failures;; Deck Construction;; Grid Movement;; Hand Management;; Hexagon Grid;; Legacy Game;; Line of Sight;; Modular Board;; Once-Per-Game Abilities;; Role Playing;; Scenario / Mission / Campaign Game;; Simultaneous Action Selection;; Solo / Solitaire Game;; Tags;; Variable Player Powers,120,1,4,14,3.895,Gloomhaven,2017,58306,8.39,8.62
342942,strategygames,Animals;; Economic;; Environmental,End Game Bonuses;; Hand Management;; Hexagon Grid;; Income;; Increase Value of Unchosen Resources;; Open Drafting;; Set Collection;; Solo / Solitaire Game;; Tags;; Tile Placement;; Variable Player Powers;; Variable Set-up,150,1,4,14,3.7247,Ark Nova,2021,30701,8.302,8.54
233078,thematic;; strategygames,Civilization;; Economic;; Exploration;; Negotiation;; Political;; Science Fiction;; Space Exploration;; Wargame,Action Drafting;; Area Majority / Influence;; Area-Impulse;; Dice Rolling;; Follow;; Grid Movement;; Hexagon Grid;; Increase Value of Unchosen Resources;; King of the Hill;; Modular Board;; Race;; Tech Trees / Tech Tracks;; Trading;; Variable Phase Order;; Variable Player Powers;; Variable Set-up;; Voting,480,3,6,14,4.3055,Twilight Imperium: Fourth Edition,2017,20867,8.243,8.62
167791,strategygames,Economic;; Environmental;; Industry / Manufacturing;; Science Fiction;; Space Exploration;; Territory Building,Closed Drafting;; Contracts;; Enclosure;; End Game Bonuses;; Hand Management;; Hexagon Grid;; Income;; Set Collection;; Solo / Solitaire Game;; Tags;; Take That;; Tech Trees / Tech Tracks;; Tile Placement;; Turn Order: Progressive;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,120,1,5,12,3.2568,Terraforming Mars,2016,89897,8.233,8.38
291457,thematic;; strategygames,Adventure;; Exploration;; Fantasy;; Fighting;; Miniatures,Action Queue;; Action Retrieval;; Campaign / Battle Card Driven;; Communication Limits;; Cooperative Game;; Critical Hits and Failures;; Deck Construction;; Grid Movement;; Hand Management;; Hexagon Grid;; Legacy Game;; Line of Sight;; Once-Per-Game Abilities;; Scenario / Mission / Campaign Game;; Simultaneous Action Selection;; Solo / Solitaire Game;; Variable Player Powers,120,1,4,14,3.6304,Gloomhaven: Jaws of the Lion,2020,28792,8.208,8.5
316554,strategygames,Movies / TV / Radio theme;; Novel-based;; Political;; Science Fiction,"Card Play Conflict Resolution;; Deck, Bag, and Pool Building;; Delayed Purchase;; Force Commitment;; Increase Value of Unchosen Resources;; Multi-Use Cards;; Open Drafting;; Solo / Solitaire Game;; Tags;; Take That;; Turn Order: Progressive;; Variable Player Powers;; Worker Placement",120,1,4,14,3.0222,Dune: Imperium,2020,34376,8.172,8.4
115746,wargames;; thematic,Adventure;; Fantasy;; Fighting;; Novel-based;; Territory Building;; Wargame,Action Drafting;; Area Majority / Influence;; Area Movement;; Campaign / Battle Card Driven;; Card Play Conflict Resolution;; Dice Rolling;; Events;; Hand Management;; Hidden Movement;; Movement Points;; Simulation;; Team-Based Game;; Variable Set-up,180,2,4,13,4.2061,War of the Ring: Second Edition,2011,19104,8.17,8.53
187645,thematic,Civil War;; Miniatures;; Movies / TV / Radio theme;; Science Fiction;; Space Exploration;; Wargame,"Area Majority / Influence;; Area Movement;; Area-Impulse;; Card Play Conflict Resolution;; Contracts;; Delayed Purchase;; Dice Rolling;; Die Icon Resolution;; Events;; Hand Management;; Hidden Movement;; Income;; Once-Per-Game Abilities;; Tags;; Take That;; Team-Based Game;; Variable Player Powers;; Variable Set-up;; Worker Placement, Different Worker Types",240,2,4,14,3.7354,Star Wars: Rebellion,2016,29919,8.168,8.42
