gameid,user,rating
251247,erisalke,8.0
251247,ernobhuvan,8.5
251247,ernst.,8.42
251247,erselgider,9.0
251247,erthule,7.0
251247,eruizprieto,9.0
251247,ervandarnell,8.0
251247,erwin44,8.4
251247,escheriv,7.0
251247,esed,7.5
251247,esengie,8.0
251247,esha04,7.7
251247,eskmoe,9.0
251247,eskrut,8.1
251247,eslepak,8.0
251247,esoc24,9.5
251247,esoxx,7.5
251247,esphill98,8.0
251247,espoon82,9.63
251247,esquire468,1.0
251247,esqulax,10.0
251247,esstier,8.0
251247,estynor,8.0
251247,etal,7.6
251247,etanarulacus,8.3
251247,eternades,9.0
251247,ethakay,7.0
251247,ethanparsley,9.0
251247,etheria,10.0
251247,etienne_san,9.0
251247,eu1986,9.0
251247,eumji3,7.5
251247,eunnyya,8.0
251247,eunseob,9.0
251247,europa3355,8.0
251247,evabby,8.0
251247,evancheah,7.61688
251247,evanm137,8.0
251247,evanmistur,7.0
251247,evanvariano,7.0
251247,evarina,9.0
251247,everelusivebarry,5.0
251247,evil_lemons,7.0
251247,evilandy,7.0
251247,evildee,6.0
251247,evlkeith,2.0
251247,evomoraes,10.0
251247,evrard,8.0
251247,evrisp1,7.5
251247,ewack16,8.0
251247,ewm73,9.0
251247,exceedinglywell,8.0
251247,exhar,9.5
251247,exiliado86,9.0
251247,exoxo,8.0
251247,extatix,8.0
251247,f16jetman,8.0
251247,f3_lix,9.0
251247,fab8,10.0
251247,fabat,10.0
251247,faberdonax,8.0
251247,fabericus,7.0
251247,fabermeister,8.0
251247,fabikoenig,9.0
251247,fabio,8.0
251247,fabiocar84,9.0
251247,fabriarge,7.6
251247,fabriciobnu,10.0
251247,faceplant247,7.5
251247,facetheforest,9.0
251247,fadoxxx,10.0
251247,fafix,9.0
251247,fagarri1,8.0
251247,failtech,9.0
251247,failureofi,8.0
251247,fairplay01,9.0
251247,faizali,7.0
251247,fakcior,8.0
251247,fake,6.0
251247,fakebanana,7.9
251247,fakegame,9.0
251247,fakel666,9.0
251247,fakeplastic,2.0
251247,falcaobr,10.0
251247,falcomortale,9.0
251247,falenheld,9.0
251247,fallout_boy,9.0
251247,famdoes,8.0
251247,familywontplay,7.4
251247,fanatique,8.0
251247,fanta1995,9.0
251247,fantasidhe,7.8
251247,fantaso,7.0
251247,farbenka,7.0
251247,farchamb,6.0
251247,fardad1313,7.0
251247,farena,8.0
251247,farfadetmaussade,9.0
251247,farmerfelix,10.0
251247,farmergiles,1.0
251247,farne123,10.0
251247,faryadbig,7.0
251247,fash,9.0
251247,fassi1848,9.0
251247,fastattaq,9.0
251247,faster1,9.0
251247,fatbloke,8.0
251247,fattaft23,9.0
251247,fauryn,6.0
251247,favelas,1.0
251247,fazermozg,8.0
251247,fazio_sfc,9.0
251247,fblzs,9.0
251247,fbongiovanni87,10.0
251247,fbouchart,8.0
251247,fcboyd,9.0
251247,fdo_claves,8.5
251247,fdsnda,8.5
251247,fdubois,8.0
251247,feascr,8.0
251247,fedechiessa,9.6
251247,fedefff,9.0
251247,federik21,1.0
251247,federossa,8.5
251247,fedmart,8.0
251247,feelglass,10.0
251247,feguladon,9.5
251247,fellow92700,10.0
251247,fencherch,7.0
251247,fendwick,7.0
251247,fenghuoma,8.0
251247,fengxiaojie,7.0
251247,fenybenhanyo,10.0
251247,ferengi,8.5
251247,fergiej666,8.0
251247,ferin15,9.0
251247,ferion,10.0
251247,ferralferrets,7.0
251247,ferreg,7.0
251247,ferris1971,7.0
251247,fersim,9.0
251247,ferstagerov,8.0
251247,fescofet,8.0
251247,fethyra,8.0
251247,fetuma,9.0
251247,fews,9.0
251247,fffulmicotone,8.0
251247,ffhenkes,7.5
251247,ffsjake,8.0
251247,fiatkid55,10.0
251247,fiddling,9.0
251247,fieldeffect,8.75
251247,fiemske,8.5
251247,fiendling,3.0
251247,fiftycentpoker,8.0
251247,filin32,8.8
251247,filinta42,10.0
251247,filipeamorim2,9.3
251247,filipemep,9.0
251247,filipeoliveira,9.0
251247,filippozz,8.7
251247,filman1201,7.0
251247,finallyapolystudent,8.0
251247,finalpump,8.5
251247,findi63,9.0
251247,findoooo,7.0
251247,finex,9.0
251247,finnianp,8.0
251247,fiorevita,2.0
251247,firebound12,8.0
251247,firefly045,7.5
251247,firemage85,1.0
251247,firemagexd,9.0
251247,fireshrine,8.0
251247,fisha,5.0
251247,fishfactory,10.0
251247,fishlover21,8.0
251247,fitzken,10.0
251247,five_wood,8.0
251247,fives,6.0
251247,fizolof,7.0
251247,fizzle,8.0
251247,fjaellraeven,8.5
251247,fjaoaoaoao,7.0
251247,fjurio,9.0
251247,flacchittocca,9.0
251247,flamaster444,9.0
251247,flambiertes,7.0
251247,flan67,9.0
251247,flashvoyagergtr,7.3
251247,flaurent,9.0
251247,flava,10.0
251247,flavah_bs,9.0
251247,flavigny,9.0
251247,flax2300,8.0
251247,flcbarbosa,8.0
251247,flcln9,6.0
251247,flclpjy,9.0
251247,flernebunu,10.0
251247,flettz,9.0
251247,flexpoint,9.5
251247,floatingcat,4.0
251247,floro_,8.0
