gameid,user
295770,-=Yod@=-
308119,-=Yod@=-
242705,-=Yod@=-
162886,-=Yod@=-
251661,-=Yod@=-
271055,-=Yod@=-
266507,-=Yod@=-
311988,-=Yod@=-
321608,-=Yod@=-
279537,-=Yod@=-
295770,-Morphling-
311988,-Morphling-
242705,-Morphling-
235802,-Morphling-
266507,-Morphling-
174430,-Morphling-
233078,-Morphling-
240196,-Morphling-
251661,-Morphling-
218417,-Morphling-
242705,-mIDE-
349067,-mIDE-
169427,-mIDE-
295770,-mIDE-
321608,-mIDE-
251661,-mIDE-
308119,-mIDE-
251247,-mIDE-
329551,-mIDE-
322708,-mIDE-
242705,-toni-
251661,-toni-
295770,-toni-
235802,-toni-
233078,-toni-
364011,-toni-
224517,-toni-
325494,-toni-
308119,-toni-
266507,-toni-
174430,-xXx-
227460,-xXx-
297562,-xXx-
308119,-xXx-
266507,-xXx-
235802,-xXx-
270633,-xXx-
291457,-xXx-
374173,-xXx-
241451,-xXx-
242705,...Hammer
308119,...Hammer
349067,...Hammer
336382,...Hammer
374173,...Hammer
310100,...Hammer
345584,...Hammer
224517,...Hammer
314040,...Hammer
284653,...Hammer
262941,0010
224783,0010
280794,0010
281466,0010
305096,0010
337765,0010
244522,0010
186751,0010
292375,0010
258779,0010
251661,007_ulf
242705,007_ulf
325494,007_ulf
364011,007_ulf
366161,007_ulf
235802,007_ulf
314040,007_ulf
284378,007_ulf
342942,007_ulf
324856,007_ulf
291457,00McCracken
169427,00McCracken
235802,00McCracken
233078,00McCracken
325494,00McCracken
295770,00McCracken
242705,00McCracken
251661,00McCracken
321608,00McCracken
311988,00McCracken
242705,00arak00
235802,00arak00
281655,00arak00
332686,00arak00
251661,00arak00
321608,00arak00
342942,00arak00
310100,00arak00
316554,00arak00
271055,00arak00
251661,00schneider
295770,00schneider
235802,00schneider
364011,00schneider
224517,00schneider
284378,00schneider
325494,00schneider
308119,00schneider
270633,00schneider
266507,00schneider
242705,00vito
295770,00vito
169427,00vito
235802,00vito
174430,00vito
321608,00vito
364011,00vito
291457,00vito
251661,00vito
220308,00vito
316554,010100
284378,010100
224710,010100
271601,010100
214887,010100
310100,010100
255984,010100
249259,010100
242302,010100
271055,010100
308119,01hejazi
249381,01hejazi
306735,01hejazi
280794,01hejazi
256960,01hejazi
331787,01hejazi
237182,01hejazi
210296,01hejazi
311988,01hejazi
163839,01hejazi
295770,0444287
291457,0444287
251661,0444287
266507,0444287
227935,0444287
365717,0444287
270633,0444287
240980,0444287
255984,0444287
235802,0444287
242705,0447603
251661,0447603
364011,0447603
169427,0447603
325494,0447603
310100,0447603
342942,0447603
284378,0447603
224517,0447603
235802,0447603
314040,0492372665
281655,0492372665
237182,0492372665
240980,0492372665
233078,0492372665
186751,0492372665
162886,0492372665
332686,0492372665
228328,0492372665
300531,0492372665
256960,07734
332686,07734
246900,07734
227460,07734
187617,07734
184267,07734
325635,07734
214029,07734
161533,07734
291572,07734
242705,0815Spieler
224517,0815Spieler
218479,0815Spieler
271055,0815Spieler
316554,0815Spieler
341169,0815Spieler
186751,0815Spieler
342942,0815Spieler
257499,0815Spieler
227935,0815Spieler
295770,0Kage
280794,0Kage
186751,0Kage
295947,0Kage
350184,0Kage
285774,0Kage
255984,0Kage
256680,0Kage
232832,0Kage
199792,0Kage
251661,0NCK0
332686,0NCK0
299659,0NCK0
235802,0NCK0
284653,0NCK0
186751,0NCK0
342942,0NCK0
314040,0NCK0
283355,0NCK0
322708,0NCK0
170771,0b1_Ita
235802,0b1_Ita
364011,0b1_Ita
332686,0b1_Ita
308119,0b1_Ita
266507,0b1_Ita
252328,0b1_Ita
249259,0b1_Ita
251661,0b1_Ita
285192,0b1_Ita
218479,0hoHj
280794,0hoHj
291572,0hoHj
336382,0hoHj
298047,0hoHj
228341,0hoHj
264220,0hoHj
266507,0hoHj
235802,0hoHj
364011,0hoHj
262941,0kecske0
332686,0kecske0
350316,0kecske0
224517,0kecske0
291572,0kecske0
244114,0kecske0
299659,0kecske0
256916,0kecske0
349067,0kecske0
251661,0kecske0
251661,0lukasz0
242705,0lukasz0
233078,0lukasz0
325494,0lukasz0
224517,0lukasz0
270633,0lukasz0
235802,0lukasz0
316554,0lukasz0
335764,0lukasz0
218417,0lukasz0
251661,0minus
167355,0minus
325494,0minus
310100,0minus
242705,0minus
295770,0minus
169427,0minus
356123,0minus
311988,0minus
374173,0minus
277659,0tibo
235802,0tibo
251661,0tibo
325494,0tibo
308119,0tibo
316554,0tibo
169427,0tibo
374173,0tibo
299659,0tibo
270633,0tibo
222509,0xA8E
273330,0xA8E
271896,0xA8E
290359,0xA8E
306040,0xA8E
227515,0xA8E
161533,0xA8E
142379,0xA8E
325494,0xA8E
274364,0xA8E
161533,0xDEADBEEF
314040,0xDEADBEEF
295770,0xDEADBEEF
297562,0xDEADBEEF
280794,0xDEADBEEF
214887,0xDEADBEEF
268864,0xDEADBEEF
252328,0xDEADBEEF
